0, 0, 0, 0
1, 1247, 0, 0
2, 3245, 4, 4
3, 5163, 98, 108
4, 5803, 870, 889
5, 5588, 952, 949
6, 5107, 863, 848
7, 4200, 679, 654
8, 3214, 457, 428
9, 2615, 268, 245
10, 2226, 152, 140
11, 1931, 98, 92
12, 1687, 73, 69
13, 1478, 59, 56
14, 1294, 48, 45
15, 1130, 38, 36
16, 985, 31, 29
17, 860, 24, 23
18, 761, 19, 18
19, 689, 16, 15
20, 639, 14, 14
21, 599, 13, 13
22, 565, 13, 13
23, 535, 12, 12
24, 507, 11, 11
25, 482, 9, 6
26, 450, 2, 1
27, 389, 0, 0
28, 292, 0, 0
29, 160, 0, 0
30, 0, 0, 0
